index	F10	F12	F7	F8	GK1	GK2	GK3	GM2	GR1	GR2	GT2
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;__	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria	32	35	26	36	102	323	260	0	0	0	0
k__Bacteria;p__Bacteroidetes	3817	6934	4438	7002	3969	2980	3025	7799	4297	7123	7241
k__Bacteria;p__Chloroflexi	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria	303	0	10	17	105	9	0	327	224	17	60
k__Bacteria;p__Firmicutes	7101	4974	8599	5624	5166	8254	5560	7723	3798	7266	8255
k__Bacteria;p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	713	840	359	1157	887	311	219	2161	1500	1546	1685
k__Bacteria;p__TM7	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Tenericutes	0	0	0	0	168	226	14	0	0	0	13
k__Bacteria;p__Verrucomicrobia	0	0	0	42	0	0	0	299	94	49	756
