"","Otu0001","Otu0044","Otu0076","Otu0339","Otu0607","Otu0613","Otu0672","Otu0675","Otu0678"
"TS195.2.298978",31,2,766,1161,0,0,0,0,12
"TS14.299212",10,200,176,12436,0,0,0,0,0
"TS16.299068",26,1,1626,2347,0,0,0,0,0
"TS37.299147",15,15,1199,1249,0,0,0,0,1
"TS8.299198",135,6,3639,8742,0,0,0,0,7
"TS155.2.298990",2,12,436,769,1,0,0,0,0
"TS26.299185",4,35,7444,4944,0,0,0,7,7
"TS31.299055",61,94,4797,10724,0,0,0,0,34
"TS91.2.299008",19,40,490,1568,0,0,0,0,0
"TS131.2.298993",12,7,946,2119,0,0,0,0,0
"TS39.299167",51,2,2114,2280,0,0,0,0,8
"TS150.299173",17,136,53,7371,8,0,0,0,47
"TS117.298949",157,80,615,2263,0,0,0,0,0
"TS56.2.299192",480,2,4,2988,22,0,0,0,0
"TS2.299130",14,335,2569,5390,0,0,0,9,135
"TS51.299145",42,2308,1340,6501,1,0,0,51,191
"TS28.299120",17,7,1028,4890,0,0,0,1,0
"TS27.299223",15,257,1940,6488,0,0,0,1,1
"TS107.2.298960",7,204,270,3710,0,0,0,0,0
"TS106.2.299179",32,45,669,1369,0,0,0,0,0
"TS20.299059",36,45,4647,10751,0,0,0,0,43
"TS126.299046",1,17,84,1419,0,0,0,0,0
"TS132.299044",13,28,1024,1213,2,0,0,0,0
"TS168.2.298985",19,23,814,2314,0,0,0,0,1
"TS61.2.299186",32,11,1027,1867,0,0,0,0,0
"TS63.2.299109",0,3,125,1540,0,0,0,0,1
"TS50.299027",6,350,32,11213,3,0,0,0,0
"TS137.298959",200,8,1261,1783,0,0,0,0,0
"TS19.2.298956",1,90,2,2985,0,0,0,0,1
"TS74.2.299132",4,27,241,1154,0,0,0,0,1
"TS182.2.299113",55,42,1808,3877,0,0,0,0,0
"TS181.299047",35,20,1254,1798,0,0,0,0,3
"TS116.299165",44,209,487,2038,1,0,0,0,0
"TS32.299074",401,33,3382,4740,0,0,0,0,0
"TS120.2.299136",84,58,590,1708,0,0,0,0,0
"TS94.299193",3,24,636,754,0,0,0,0,3
"TS140.2.299087",55,3,1359,992,15,0,0,0,0
"TS88.2.299002",11,11,981,881,0,0,0,0,0
"TS109.2.299100",26,1,595,857,0,0,0,0,3
"TS156.299155",15,2,536,832,1,0,0,0,0
"TS6.2.299094",74,41,755,2147,0,0,0,0,0
"TS133.299149",30,5,557,1489,0,0,0,0,0
"TS95.299180",8,3,1137,1083,1,0,0,0,14
"TS160.298976",10,5,1073,916,0,0,0,0,0
"TS86.2.299219",5,0,517,901,0,0,0,0,0
"TS166.2.298980",2,41,47,2829,0,0,0,0,0
"TS169.298977",13,11,753,2551,0,0,0,0,2
"TS29.298974",9,7,74,2036,0,0,0,0,0
"TS162.2.299140",3,0,1682,2136,0,0,0,0,0
"TS115.298998",14,70,644,1246,0,0,0,0,0
"TS191.299146",4,3,1220,1344,0,0,0,0,0
"TS143.299098",50,70,750,2550,0,0,0,0,0
"TS161.299188",8,7,469,1477,0,0,0,0,0
"TS184.299203",18,45,701,1113,0,0,0,0,0
"TS57.299197",100,3,1383,6177,0,0,0,0,0
"TS185.299148",24,7,485,1881,0,0,0,0,0
"TS5.299045",40,343,754,10565,0,0,0,0,3
"TS142.2.298963",22,33,1662,1326,0,0,0,0,0
"TS118.2.298966",3,121,364,2138,0,0,0,0,0
"TS13.299018",51,10,1758,4707,0,0,0,0,0
"TS149.298994",150,56,3066,6225,0,0,0,0,0
"TS35.298981",30,31,600,1967,0,0,0,0,0
"TS84.2.298962",1,4,685,1059,0,0,0,0,0
"TS179.298987",0,167,19,1675,0,0,0,0,0
"TS55.2.298952",3,4,1596,2920,0,0,0,0,0
"TS154.2.299022",4,40,361,474,0,0,0,9,1
"TS65.299182",11,6,257,1373,0,0,0,0,0
"TS76.2.299161",9,32,435,3145,0,0,0,0,0
"TS144.2.299166",44,23,1767,1902,0,0,0,2,0
"TS34.299217",5,16,37,1235,0,0,0,0,0
"TS146.2.299211",4,9,1137,1058,0,0,0,9,11
"TS136.2.298983",39,25,917,1941,0,0,0,1,7
"TS30.2.299050",5,27,543,1778,0,0,0,0,0
"TS130.2.298955",33,28,1900,1227,0,0,0,0,0
"TS193.2.299051",4,1,249,1284,0,0,0,0,2
"TS134.299196",1,17,215,1009,0,0,0,0,0
"TS138.299141",3,28,226,2786,0,0,0,0,0
"TS89.299011",25,11,550,1220,0,0,0,0,0
"TS43.299095",16,52,607,1367,0,0,0,0,9
"TS110.299019",0,2,196,1538,0,0,0,0,0
"TS49.2.299169",94,112,523,2554,0,0,0,0,13
"TS152.2.299097",3,4,552,1635,0,0,0,0,18
"TS92.299206",15,10,216,1658,0,0,0,0,0
"TS83.2.299171",14,40,1044,1895,0,0,0,0,0
"TS4.299175",165,3,4222,3739,0,0,0,0,0
"TS22.299221",22,201,143,3831,0,0,0,0,0
"TS7.2.299010",2,149,95,2334,0,0,0,0,0
"TS103.299049",76,5,218,1008,0,0,0,0,0
"TS98.2.299041",13,1,1334,1327,0,0,0,0,0
"TS148.299000",162,10,1345,2296,0,2,0,0,4
"TS178.2.299168",5,116,605,1782,0,0,0,0,0
"TS87.299172",0,32,312,1447,0,0,1,0,0
"TS128.2.299216",6,35,380,2047,0,0,0,0,0
"TS82.2.299057",2,9,395,1067,0,0,0,0,0
"TS119.299110",49,44,750,1664,0,0,0,0,0
"TS194.299181",19,3,643,1162,0,0,0,0,0
"TS66.2.299157",226,16,2148,4566,0,1,0,1,0
"TS10.2.299108",1,11,282,558,0,0,0,0,0
"TS100.298999",27,2,1030,2103,0,0,0,0,1
"TS67.2.299127",7,3,463,1246,0,0,0,0,0
"TS170.2.299205",51,33,1098,1298,0,0,0,0,0
"TS180.299063",2,1,1158,837,0,0,0,0,1
"TS127.2.299143",6,5,354,1142,0,0,0,0,0
"TS25.2.299001",21,20,759,2131,0,0,0,0,13
"TS75.299153",25,1,316,1058,0,0,0,0,0
"TS62.2.299088",4,9,240,2548,0,0,0,0,0
"TS124.298945",10,8,713,1269,0,0,0,0,0
"TS104.299154",0,3,685,931,0,0,0,0,0
"TS183.298979",18,5,1926,950,0,0,0,1,1
"TS141.299084",114,2,505,1250,0,0,0,0,0
"TS90.298953",20,4,1056,1136,0,0,0,15,6
"TS21.299189",173,76,2456,9833,0,0,0,0,22
"TS44.299183",1,85,139,657,0,0,0,0,0
"TS165.2.299138",19,7,968,669,0,0,0,1,1
"TS1.299139",12,2,1560,2820,0,0,0,0,7
"TS105.299210",0,5,103,1573,0,0,0,0,0
"TS139.299195",6,53,54,2330,0,0,0,0,0
"TS96.2.299214",18,30,585,1459,0,0,0,0,0
"TS145.298950",72,0,881,1122,0,0,0,0,18
"TS71.2.299080",3,3,648,1341,0,0,0,0,0
"TS68.2.298971",10,16,467,1486,0,0,0,0,0
"TS11.298996",14,11,913,1368,0,0,0,0,0
"TS97.2.299190",34,29,662,1975,0,0,0,0,0
"TS147.299111",48,18,970,2016,0,0,0,0,0
"TS151.299215",23,3,767,2565,0,0,0,0,1
"TS164.299125",4,3,998,1352,0,0,0,0,0
"TS135.299142",49,5,1025,1577,0,0,0,0,2
"TS78.299102",15,35,737,580,0,0,0,0,0
"TS23.299159",1,16,115,1587,0,0,0,0,0
"TS190.299218",36,15,565,1890,0,2,0,0,0
"TS9.2.298969",11,16,648,1500,0,0,0,0,0
"TS129.2.299037",12,1,1061,912,0,0,0,0,7
"TS12.299104",1,22,603,1268,0,0,0,0,1
"TS167.2.299004",1,265,118,3363,0,0,0,0,1
"TS101.2.299207",2,5,46,2131,0,0,0,0,1
"TS73.299077",47,12,1371,1349,0,0,0,0,11
"TS163.299072",16,1,498,969,0,0,0,0,0
"TS70.299093",6,2,357,944,0,0,0,0,1
"TS69.2.298972",20,8,631,1436,0,0,0,0,0
"TS72.299209",3,4,416,828,0,0,0,0,1
"TS111.299174",9,13,628,1635,0,0,0,0,3
"TS17.299122",1,0,303,473,0,0,0,0,0
